Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L20	163	79087.8663	23	0.6780161525590636	0.5657319639957911	2.6702827016942132	11.456582565245792	0.7974260216069281	1
Chi30_zscore_L20	164	79087.8663	29	0.8672942009598024	0.7083629767150348	8.37013328363672	15.344847900329555	0.6801407717603004	1
Chi30_zscore_L20	165	79087.8663	28	0.1586051052930737	0.8808707591989284	8.71843527745232	9.010908107797912	0.8258167505647627	0
Chi30_zscore_L20	166	79087.8663	23	0.7435082562916078	0.1607598960483082	8.179670241190621	16.50101202076804	0.5074677337608362	0
Chi30_zscore_L20	167	79087.8663	23	0.6169269183757422	0.9811861780274235	6.3181352701666835	8.916171080808283	0.6340057030996114	1
Chi30_zscore_L20	168	79087.8663	28	0.10698063882695841	0.761027902502028	5.412665786761103	15.042585825351049	0.3418721660386861	1
Chi30_zscore_L20	174	79087.8663	27	0.2732595269982093	0.9508635622504104	1.5105789178090023	5.833926928235021	0.9436159201675989	1
Chi30_zscore_L20	175	79087.8663	27	0.3975943979627943	0.27421520234867003	9.839776479598282	13.933116542748712	0.8940992036791344	0
Chi30_zscore_L20	183	79087.8663	27	0.5596486834869141	0.00977084741918366	3.2646130824399187	8.441729516287033	0.08786649914483335	1
Chi30_zscore_L20	187	79087.8663	28	0.08011484638467514	0.8948166560605276	5.475923761537363	13.6489014611623	0.45231828451830014	1
Chi30_zscore_L20	188	453.9594	25	0.7315895217553319	0.08162998203058958	0.603520839905638	3.0745531800071024	0.15954468011318834	2
Chi30_zscore_L20	190	79087.8663	26	0.7192017782722638	0.22845474133129873	9.963339160567418	19.71127078203525	0.6503256863469369	0
Chi30_zscore_L20	191	79087.8663	27	0.07219840897917584	0.030652502205806065	2.576828885112137	7.203058452505299	0.8682725054083805	2
Chi30_zscore_L20	192	79087.8663	28	0.42549333444807536	0.3459349925469629	3.7103876298460268	13.586883267206606	0.04010919141248248	2
Chi30_zscore_L20	193	79087.8663	26	0.43861541918959046	0.7252576604151365	4.866689414247029	13.600921795063634	0.9007018640112585	1
Chi30_zscore_L20	194	79087.8663	23	0.5923503285933622	0.912363345616691	2.106621890056666	8.336287725691493	0.6315602200925206	2
Chi30_zscore_L20	196	79087.8663	29	0.4922778564480348	0.24723107440317704	8.707499012725114	13.16055156275177	0.5148173539296902	1
Chi30_zscore_L20	197	79087.8663	26	0.16352387258502277	0.3910815366517607	9.694123223352875	12.27545755036415	0.6567366645412922	0
Chi30_zscore_L20	198	79087.8663	28	0.13087366071834983	0.9698210450785447	4.5378954138363925	6.898400047301032	0.07349674733001266	0
Chi30_zscore_L20	201	79087.8663	28	0.5853543643967521	0.8682712805132586	2.0584121003676827	3.1776082943449615	0.2697496115169896	0
Chi30_zscore_L20	204	79087.8663	27	0.8679182945200221	0.4547398556338591	5.155960285792503	10.044426088361705	0.6668642575461043	0
Chi30_zscore_L20	206	79087.8663	27	0.44375021930457115	0.8681422543775054	1.771497894473859	8.697757416735504	0.8381152896481102	2
Chi30_zscore_L20	207	79087.8663	27	0.4971747640084273	0.6178472402012138	8.689049844787181	14.395147311175478	0.03038705969683686	2
Chi30_zscore_L20	208	79087.8663	27	0.6765133857772465	0.21567515239771717	6.5888547023265716	10.527498758868155	0.6512329770414921	0
Chi30_zscore_L20	209	79087.8663	27	0.9994137257706666	0.04821203886055603	9.771741842213173	13.84082144944188	0.8707534503372591	2
Chi30_zscore_L20	210	79087.8663	26	0.7384492092513265	0.8785155613013479	4.0414032165103295	7.311734832142717	0.6675933855635847	2
Chi30_zscore_L20	211	79087.8663	28	0.7978136488586345	0.435583314812933	8.178342161750216	9.3804327154563	0.5444890979608495	0
Chi30_zscore_L20	212	79087.8663	23	0.3664615348713979	0.3961726916092554	6.954672066898622	10.84025307960208	0.44869362262253065	0
Chi30_zscore_L20	216	1201.5247	30	0.01823258267636163	0.1957779856835461	0.0756287497814212	6.550375891327451	0.8980305489499869	0
Chi30_zscore_L20	218	79087.8663	23	0.3072899649262866	0.8030258978326634	5.391612766752544	8.50468975831258	0.6103337833109184	2
Chi30_zscore_L20	220	79087.8663	27	0.10687692309474384	0.5673122196289035	2.5656278370136376	12.194896589389437	0.4835456467199247	2
Chi30_zscore_L20	221	79087.8663	26	0.043412532854819164	0.6331513755940223	9.51403342206657	15.53015162352988	0.8191888594267902	2
Chi30_zscore_L20	224	79087.8663	26	0.4517676787372291	0.5866084631754741	1.6801420774486342	9.048879526890456	0.8627970775432285	0
Chi30_zscore_L20	226	79087.8663	26	0.4967668588591694	0.9877855202148873	1.3643975255673313	8.315843066043268	0.4043187681042921	1
Chi30_zscore_L20	227	79087.8663	27	0.6924361513243696	0.9912559937021883	1.2839428945412523	2.3250393883829155	0.7243388171287412	1
Chi30_zscore_L20	228	79087.8663	23	0.0794193689889866	0.08565824959643054	8.941908746641182	10.860581993828612	0.32337156211552076	0
Chi30_zscore_L20	229	5634.5825	23	0.06942384274609337	0.5190597909082704	0.676125635922149	8.679690714145766	0.23371208191043302	1
Chi30_zscore_L20	230	79087.8663	29	0.6508773690471942	0.5329577865513353	3.243337531153756	6.573356661735735	0.6694869551981901	2
Chi30_zscore_L20	231	79087.8663	27	0.5577834173700249	0.7306505102392461	4.652056122837181	5.253479548845034	0.5622968158779098	2
Chi30_zscore_L20	233	79087.8663	23	0.664911724487218	0.7954499607897292	9.271778194794527	11.618199013349063	0.39931591580930814	0
Chi30_zscore_L20	235	79087.8663	28	0.12771348363523483	0.8260676302525284	7.820280876703859	14.907727854133624	0.036160380524762115	0
Chi30_zscore_L20	239	4954.4492	28	0.7900304363070614	0.3046791390980408	0.8091928305125218	4.838994618164136	0.17352451498650867	2
Chi30_zscore_L20	240	79087.8663	23	0.9756102008599149	0.640972077345332	8.224805636343609	9.550052363762093	0.8620144822726226	2
Chi30_zscore_L20	244	24929.4441	26	0.6502010923981534	0.1520248531286481	0.6134962711066816	8.42111213179108	0.4598004237693202	0
Chi30_zscore_L20	246	385.8237	23	0.10104581101064669	0.6921613416941319	0.6229179813006269	5.717139262798524	0.9966968538529768	2
Chi30_zscore_L20	247	79087.8663	26	0.30625362078661167	0.6238958362916385	5.270414639116517	9.531248478020231	0.13071037674019947	2
Chi30_zscore_L20	249	4682.7385	20	0.4161539981797615	0.4813441516353236	0.19192276823056686	2.790054855680909	0.760289823122135	0
Chi30_zscore_L20	253	79087.8663	28	0.8920846889402344	0.9553346865039283	7.869033862552951	11.023102820033078	0.6881347060865421	1
Chi30_zscore_L20	255	23716.7937	29	0.6366696821672073	0.6139335847600618	0.6665204056068996	5.85060062505894	0.15016900081704165	2
Chi30_zscore_L20	256	25983.6355	25	0.6802277792083533	0.041672900602384266	0.8479201604580322	8.011154041084856	0.07208433599867337	0
Chi30_zscore_L20	258	11357.9428	27	0.18519556786746794	0.17410933533408435	0.9839564971339732	7.586983694147355	0.7643726622217359	0
Chi30_zscore_L20	262	79087.8663	28	0.6564786073315027	0.12809574636620003	3.382675059944984	12.66351146320548	0.22461561184385193	1
Chi30_zscore_L20	264	79087.8663	29	0.645810812655206	0.28590678923916013	8.159469389686173	16.773169353320533	0.846514338690278	2
Chi30_zscore_L20	267	79087.8663	27	0.8177853298569451	0.2135113663106719	5.05852692951829	13.46555720963029	0.7328015447662506	1
